submitted_symbol	official_symbol	flybase_id	current_fullname	symbol_synonyms	secondary_flybase_ids	annotation_id	match_type	ambiguous
CG7185	Cpsf6	FBgn0035872	Cleavage and polyadenylation specific factor 6	CF I[[m]]68|CFI68|CFIm68|CFlm-68k|CG7185|cg7185|CPSF6|dCPSF6		CG7185	synonym	No
CG3335	CG3335	FBgn0036018		cg3335|Dm-RBD-1|Q9VT19		CG3335	official_symbol	No
CG11726	CG11726	FBgn0036156		cg11726		CG11726	official_symbol	No
CG10948	anw	FBgn0036317	angel wing	CG10948|cg10948|CT30663|Enox		CG10948	synonym	No
CG7804	cocoon	FBgn0036496	cocoon	CG7804|cg7804|Cocoon		CG7804	synonym	No
barc	barc	FBgn0037081	barricade	Barc|CG6049|cg6049|cus2|Tat-SF1		CG6049	official_symbol	No
CG14641	CG14641	FBgn0037220		cg14641		CG14641	official_symbol	No
srl	srl	FBgn0037248	spargel	CG 9809|CG9809|cg9809|dh-PPRC1|DmPGC-1|DmPGC-1/spargel|DmPGC-1alpha|DmPGC-1α|dPCG1alpha|dPCG1α|dPGC|dPGC-1|dPGC-1alpha|dPGC-1α|dPGC1|PCG1-alpha|PCG1-α|PGC-1|PGC-1-alpha|PGC-1alpha|PGC-1α|PGC1|PGC1-alpha|PGC1-α|PGC1a|PGC1alpha|PGC1α|Spargel|spargel|Srl		CG9809	official_symbol	No
CG2931	CG2931	FBgn0037342		cg2931		CG2931	official_symbol	No
SLIRP2	SLIRP2	FBgn0037602	SRA stem-loop interacting RNA binding protein 2	CG8021|cg8021|DmSLIRP2		CG8021	official_symbol	No
RnpS1	RnpS1	FBgn0037707	RNA-binding protein S1	CG16788|cg16788|DEK|RNPS1|Rnps1|rnps1		CG16788	official_symbol	No
